product_id,product_name,category,unit_price,stock_level,supplier_tier
2001,Electronics-Be,Clothing,412.35,733.0,Preferred
2002,Office-Family,Clothing,866.0,339.0,Standard
2003,Electronics-Training,Clothing,385.18,202.0,Preferred
2004,Office-Where,Home,927.25,526.0,Premium
2005,Office-Huge,Home,428.78,775.0,Preferred
2006,Office-Class,Clothing,198.0,504.0,Preferred
2007,Clothing-Over,Electronics,583.39,511.0,Premium
2008,Electronics-Skin,Home,66.59,598.0,Preferred
2009,Office-Raise,Clothing,66.31,130.0,Standard
2010,Electronics-Themselves,Clothing,77.84,765.0,Premium
2011,Electronics-Religious,Clothing,409.74,134.0,Premium
2012,Clothing-Artist,Electronics,623.19,284.0,Premium
2013,Office-Cultural,Home,935.36,667.0,Preferred
2014,Clothing-Eat,Home,246.3,853.0,Premium
2015,Office-Itself,Clothing,674.97,531.0,Basic
2016,Home-He,Office,323.02,673.0,Preferred
2017,Electronics-Feeling,Electronics,463.7,844.0,Basic
2018,Electronics-Nature,Electronics,542.26,568.0,Basic
2019,Home-History,Clothing,933.93,465.0,Premium
2020,Electronics-Share,Clothing,375.83,890.0,Premium
2021,Clothing-Skill,Office,835.41,885.0,Basic
2022,Home-Economy,Electronics,671.18,533.0,Premium
2023,Home-Yeah,Electronics,939.54,885.0,Premium
2024,Clothing-Paper,Home,124.27,231.0,Premium
2025,Electronics-Assume,Clothing,279.62,476.0,Preferred
2026,Clothing-Use,Home,211.56,727.0,Preferred
2027,Home-Purpose,Office,258.61,204.0,Preferred
2028,Electronics-Take,Electronics,637.94,424.0,Preferred
2029,Home-Yourself,Electronics,13.51,564.0,Premium
2030,Clothing-First,Home,169.97,381.0,Preferred
2031,Office-Develop,Office,565.3,205.0,Basic
2032,Electronics-There,Electronics,945.6,227.0,Preferred
2033,Clothing-Argue,Electronics,836.25,287.0,Premium
2034,Clothing-Feel,Office,136.17,464.0,Basic
2035,Home-According,Home,899.99,286.0,Premium
2036,Electronics-Candidate,Home,217.98,602.0,Basic
2037,Clothing-Meeting,Electronics,360.14,129.0,Premium
2038,Office-Soon,Clothing,926.51,777.0,Premium
2039,Clothing-Need,Clothing,976.44,465.0,Premium
2040,Clothing-Determine,Office,34.54,628.0,Premium
2041,Home-Assume,Office,804.21,0.0,Basic
2042,Clothing-Lawyer,Home,167.61,796.0,Basic
2043,Electronics-Practice,Office,873.45,275.0,Premium
2044,Office-Society,Clothing,207.58,594.0,Basic
2045,Office-Next,Home,312.14,900.0,Basic
2046,Clothing-Worry,Clothing,33.43,456.0,Basic
2047,Clothing-Hair,Office,334.98,769.0,Preferred
2048,Electronics-Candidate,Home,357.63,565.0,Preferred
2049,Office-Easy,Home,939.84,359.0,Standard
2050,Electronics-Young,Home,186.78,500.0,Preferred
2051,Home-Century,Electronics,117.32,743.0,Premium
2052,Office-Year,Home,731.26,651.0,Preferred
2053,Home-Ground,Office,610.15,631.0,Basic
2054,Electronics-Above,Office,900.51,450.0,Premium
2055,Clothing-Politics,Home,53.94,573.0,Premium
2056,Office-About,Electronics,524.72,312.0,Premium
2057,Clothing-Identify,Home,436.98,687.0,Basic
2058,Home-Wear,Home,666.75,906.0,Premium
2059,Electronics-Clear,Home,512.05,263.0,Premium
2060,Office-Term,Home,408.38,338.0,Premium
2061,Home-Quite,Clothing,199.92,923.0,Premium
2062,Office-Receive,Clothing,619.36,814.0,Basic
2063,Home-Good,Office,552.46,389.0,Premium
2064,Electronics-Stop,Home,294.04,432.0,Premium
2065,Office-Animal,Home,470.34,329.0,Preferred
2066,Office-Occur,Clothing,516.06,618.0,Premium
2067,Clothing-Remain,Electronics,290.95,0.0,Basic
2068,Home-Read,Electronics,820.24,163.0,Preferred
2069,Clothing-Garden,Home,232.39,956.0,Basic
2070,Clothing-About,Clothing,34.18,916.0,Premium
2071,Clothing-Success,Office,615.16,446.0,Basic
2072,Electronics-Become,Office,420.3,635.0,Premium
2073,Clothing-Executive,Office,499.43,384.0,Premium
2074,Clothing-Strong,Clothing,659.5,0.0,Preferred
2075,Electronics-Letter,Electronics,780.64,296.0,Premium
2076,Clothing-Affect,Clothing,806.07,279.0,Preferred
2077,Office-Ball,Electronics,561.83,562.0,Preferred
2078,Electronics-Film,Office,142.01,530.0,Basic
2079,Office-Who,Home,950.54,293.0,Basic
2080,Office-Doctor,Office,832.26,383.0,Premium
2081,Office-Light,Clothing,746.22,421.0,Preferred
2082,Office-Figure,Office,266.6,841.0,Premium
2084,Office-Stuff,Clothing,281.85,842.0,Premium
2085,Electronics-Officer,Home,242.15,739.0,Preferred
2086,Home-Of,Home,894.1,484.0,Preferred
2087,Electronics-Rather,Clothing,159.32,766.0,Basic
2088,Office-Evening,Clothing,709.35,332.0,Premium
2089,Electronics-Action,Office,413.52,282.0,Preferred
2090,Office-Staff,Office,71.64,423.0,Basic
2091,Office-Mrs,Office,905.79,553.0,Basic
2092,Electronics-Add,Office,482.21,305.0,Premium
2093,Home-Real,Home,755.94,379.0,Basic
2094,Office-Fight,Clothing,493.35,642.0,Basic
2095,Home-Seem,Office,490.79,168.0,Preferred
2096,Office-Discuss,Home,672.18,324.0,Basic
2097,Office-Recent,Clothing,842.1,144.0,Preferred
2098,Clothing-Trouble,Electronics,907.86,136.0,Basic
2099,Electronics-Several,Electronics,646.32,605.0,Preferred
